Player,TEAM,Whiff%,BB/9,OPP SLG%,PUNCH
Shawver,HAR,1.32,1.92,1.46,4.7
Villers,WAR,1.18,1.92,1.58,4.68
Culpepper,YD,2.01,1.33,0.96,4.3
Brand,WAR,0.91,1.25,2.13,4.3
Coady,HAR,2.15,0.89,1.16,4.2
Federman,CHA,1.32,1.92,0.32,3.57
Yancik,FAL,1.87,0.65,1.04,3.56
Seymour,HAR,2.15,0.01,1.36,3.52
Adler,BOR,2.15,-0.17,1.37,3.35
Scolaro,HYA,1.87,-0.35,1.74,3.26
Netz,ORL,-0.19,1.25,2.17,3.23
Fitzpatrick,BRE,1.05,1.18,0.84,3.07
Granillo,COT,0.91,1.07,1.06,3.04
Hubbart,BRE,0.77,0.72,1.46,2.95
Dombrowski,HAR,0.49,1.63,0.79,2.91